arch,cell,n_seeds,acc_mean,f1_macro_mean,error_rate_mean,n_errors_mean,error_ratio_mean,params_total_mean,params_nonzero_mean,macs_mean,artifact_bytes_mean,lat_cpu_t1_b1_mean,lat_cpu_t16_b1_mean,lat_cpu_t16_b32_mean,lat_gpu_eager_fp32_b1_mean,lat_gpu_eager_fp16_b1_mean,lat_gpu_trt_b1_mean,lat_gpu_trt_b32_mean,lat_gpu_trt_fp16_b1_mean,error_rate_std,error_ratio_std
densenet121,baseline,3,0.9980306092752723,0.9980467785674586,0.001969390724727793,164.66666666666666,1.0,6972306.0,6972306.0,2864541184.0,28483729.0,41.25173902139068,16.635256994049996,377.05594845465384,3.519199468428269,3.152240999042988,4.22509151394479,17.96807997743599,2.7586380019783974,4.8335209648306945e-05,0.0
densenet121,int8-cpu,3,0.9975641746299418,0.9975827319948731,0.0024358253700581165,203.66666666666666,1.237899201596834,6972306.0,6972306.0,2864541184.0,8067223.0,7.229109003674239,2.855477010598406,31.48287651129067,,,,,,7.209062912875544e-05,0.06631788623449193
densenet121,prune-50,3,0.9980943952096762,0.9981124068527448,0.001905604790323719,159.33333333333334,0.96797654690622,6972306.0,3527986.0,2864541184.0,16278170.0,,15.912080009002239,,,,,,,0.00010171744283921529,0.05557724617376384
densenet121,prune-70,3,0.9980664888633745,0.9980857080831903,0.0019335111366254691,161.66666666666666,0.9818612774451113,6972306.0,2150258.0,2864541184.0,11312847.333333334,,15.78839001012966,,,,,,,9.740743443298528e-05,0.0451748893678597
densenet121,prune-90,3,0.9979787832035688,0.9979955933362842,0.0020212167964311543,169.0,1.026210079840318,6972306.0,772530.0,2864541184.0,5940444.333333333,,16.510757501237094,,,,,,,9.492846726221625e-05,0.036504398420604454
densenet121,prune-90+int8-cpu,1,0.9973688302058292,0.9973882097761222,0.0026311697941707735,220.0,1.3749999999999856,6972306.0,772530.0,2864541184.0,8067223.0,,,,,,,,,,
densenet121,prune-90+trt-int8,1,0.9971057132264122,0.9971240706238166,0.0028942867735878286,242.0,1.5124999999999724,6972306.0,772530.0,2864541184.0,15183340.0,,,,,,3.1557914917357266,,,,
densenet121,prune-95,3,0.9976518802897476,0.9976679159917395,0.002348119710252431,196.33333333333334,1.1925024950100114,6972306.0,428098.0,2864541184.0,4423440.333333333,,16.235907998634502,,,,,,,0.00010171744283922399,0.049361493033984495
densenet121,prune-95+int8-cpu,1,0.9969741547367036,0.9969896352522714,0.0030258452632964117,253.0,1.581249999999995,6972306.0,428098.0,2864541184.0,8067223.0,,,,,,,,,,
densenet121,prune-95+trt-int8,1,0.9963283221508618,0.9963452054757275,0.003671677849138244,307.0,1.918749999999947,6972306.0,428098.0,2864541184.0,15197116.0,,,,,,3.176140977302566,,,,
