run,arch,seed,backend,precision,acc,f1_macro,error_rate,n_errors,baseline_error_rate,baseline_n_errors,error_ratio,artifact_bytes,fp32_bytes,size_ratio,eval_img_s,threads,calib_n
eixo1_densenet121_s0,densenet121,0,cpu-fbgemm,int8,0.997488428832837,0.9975077275276885,0.0025115711671630514,210,0.001913578032124219,160,1.3125000000000073,8067223,28483729,0.2832221511446061,471.6,8.0,1024.0
eixo1_densenet121_s0,densenet121,0,gpu-tensorrt,fp32,0.9980864219678758,0.9981020552897264,0.001913578032124219,160,0.001913578032124219,160,1.0,35961260,28483729,1.262519384312356,1664.9,,
eixo1_densenet121_s0,densenet121,0,gpu-tensorrt,fp16,0.9980864219678758,0.9981020552897264,0.001913578032124219,160,0.001913578032124219,160,1.0,15630076,28483729,0.5487369999904156,3183.4,,
eixo1_densenet121_s0,densenet121,0,gpu-tensorrt,int8,0.9979070240273642,0.9979244463809667,0.002092975972635802,175,0.001913578032124219,160,1.0937499999999674,15410716,28483729,0.5410357611533237,827.3,,
eixo1_densenet121_s1,densenet121,1,cpu-fbgemm,int8,0.9975721478717424,0.9975904607307644,0.0024278521282575793,203,0.00199729707102958,167,1.215568862275482,8067223,28483729,0.2832221511446061,480.1,8.0,1024.0
eixo1_densenet121_s1,densenet121,1,gpu-tensorrt,fp32,0.9980027029289704,0.998019595530001,0.00199729707102958,167,0.00199729707102958,167,1.0,35961260,28483729,1.262519384312356,1672.2,,
eixo1_densenet121_s1,densenet121,1,gpu-tensorrt,fp16,0.9980146627916712,0.9980311859303472,0.00198533720832883,166,0.00199729707102958,167,0.9940119760479171,15720924,28483729,0.5519264700208318,3231.4,,
eixo1_densenet121_s1,densenet121,1,gpu-tensorrt,int8,0.997918983890065,0.9979342833948956,0.002081016109935052,174,0.00199729707102958,167,1.0419161676646909,15405548,28483729,0.5408543242354258,811.5,,
eixo1_densenet121_s2,densenet121,2,cpu-fbgemm,int8,0.9976319471852463,0.9976500077261667,0.0023680528147537183,198,0.00199729707102958,167,1.1856287425150123,8067223,28483729,0.2832221511446061,476.1,8.0,1024.0
eixo1_densenet121_s2,densenet121,2,gpu-tensorrt,fp32,0.9979907430662696,0.9980069996467914,0.002009256933730441,168,0.00199729707102958,167,1.0059880239521384,35960268,28483729,1.262484557411707,1673.1,,
eixo1_densenet121_s2,densenet121,2,gpu-tensorrt,fp16,0.9980027029289704,0.9980183890787916,0.00199729707102958,167,0.00199729707102958,167,1.0,15681628,28483729,0.5505468753757627,3179.8,,
eixo1_densenet121_s2,densenet121,2,gpu-tensorrt,int8,0.9978831043019626,0.9979020179081649,0.002116895698037413,177,0.00199729707102958,167,1.059880239520995,15437380,28483729,0.5419718745393203,1667.6,,
eixo1_resnet50_s0,resnet50,0,cpu-fbgemm,int8,0.9979668233408681,0.9979902035588908,0.002033176659131941,170,0.002116895698037413,177,0.9604519774011122,24134257,94492735,0.2554085983435658,439.7,8.0,1024.0
eixo1_resnet50_s0,resnet50,0,gpu-tensorrt,fp32,0.9978950641646633,0.9979183803066454,0.002104935835336663,176,0.002116895698037413,177,0.9943502824858882,105671828,94492735,1.1183063756171308,1945.2,,
eixo1_resnet50_s0,resnet50,0,gpu-tensorrt,fp16,0.9978950641646633,0.9979183803066454,0.002104935835336663,176,0.002116895698037413,177,0.9943502824858882,47756060,94492735,0.5053939861090908,4488.4,,
eixo1_resnet50_s0,resnet50,0,gpu-tensorrt,int8,0.9979309437527657,0.9979539382738655,0.002069056247234302,173,0.002116895698037413,177,0.9774011299435001,25138540,94492735,0.26603674875110767,3959.9,,
eixo1_resnet50_s1,resnet50,1,cpu-fbgemm,int8,0.997918983890065,0.9979402017453572,0.002081016109935052,174,0.00197337734562808,165,1.0545454545454473,24134257,94492735,0.2554085983435658,449.1,8.0,1024.0
eixo1_resnet50_s1,resnet50,1,gpu-tensorrt,fp32,0.9980505423797735,0.9980703965294937,0.001949457620226469,163,0.00197337734562808,165,0.9878787878787583,105678828,94492735,1.1183804553863321,1977.6,,
eixo1_resnet50_s1,resnet50,1,gpu-tensorrt,fp16,0.9980146627916712,0.9980349853144604,0.00198533720832883,166,0.00197337734562808,165,1.0060606060605928,47726156,94492735,0.5050775173350629,5362.4,,
eixo1_resnet50_s1,resnet50,1,gpu-tensorrt,int8,0.9980146627916712,0.9980365932907671,0.00198533720832883,166,0.00197337734562808,165,1.0060606060605928,25099644,94492735,0.26562511922212856,3867.9,,
eixo1_resnet50_s2,resnet50,2,cpu-fbgemm,int8,0.9976558669106479,0.9976704287272704,0.0023441330893521073,196,0.002128855560738163,178,1.1011235955056051,24134257,94492735,0.2554085983435658,468.1,8.0,1024.0
eixo1_resnet50_s2,resnet50,2,gpu-tensorrt,fp32,0.9978591845765611,0.9978750157906501,0.002140815423438913,179,0.002128855560738163,178,1.0056179775280776,105691380,94492735,1.1185132909953341,1972.9,,
eixo1_resnet50_s2,resnet50,2,gpu-tensorrt,fp16,0.9978591845765611,0.9978750157906501,0.002140815423438913,179,0.002128855560738163,178,1.0056179775280776,47736260,94492735,0.5051844461904929,5352.2,,
eixo1_resnet50_s2,resnet50,2,gpu-tensorrt,int8,0.9977993852630572,0.9978145183334141,0.002200614736942774,184,0.002128855560738163,178,1.0337078651685176,25088748,94492735,0.26550980876995467,3708.4,,
